Algoritmo,Unique(Y/N),Sorted(Y/N),Run#,Problem_Size,#_Sets,Probability,#_of_Steps,Best_Cost,Time
Pruning,N,N,36,10,10,0.4,7448,12,0.4877357000077609
A*,Y,Y,33,10,10,0.4,657,12,0.672898199991323
Dijkstra,Y,N,3,10,10,0.4,8231,13,3.359163399989484
Pruning,Y,Y,34,10,10,0.4,2622,12,0.20112660000449978
Dijkstra,Y,N,30,10,10,0.4,2456,12,0.972459800017532
Dijkstra,Y,Y,34,10,10,0.4,209,12,0.09756029999698512
Dijkstra,N,N,35,10,10,0.4,1210,12,0.5383933999983128
A*,Y,Y,34,10,10,0.4,210,12,0.18178089999128133
Dijkstra,N,N,36,10,10,0.4,1164,12,0.4675295999913942
Pruning,N,N,37,10,10,0.4,7683,11,0.565810700005386
Pruning,N,N,38,10,10,0.4,3507,11,0.26045410000369884
A*,N,N,35,10,10,0.4,1140,12,0.9018411000142805
A*,N,N,32,10,10,0.4,2327,13,1.90364010000485
Dijkstra,N,N,38,10,10,0.4,382,11,0.161795499996515
Pruning,N,N,31,10,10,0.4,58338,15,5.394724500016309
Dijkstra,N,N,37,10,10,0.4,1195,11,0.4477488000120502
A*,N,N,36,10,10,0.4,1599,12,1.263048399996478
A*,N,N,38,10,10,0.4,449,11,0.4100932000146713
A*,Y,N,30,10,10,0.4,1893,12,1.6332445000007283
Pruning,Y,N,38,10,10,0.4,2571,11,0.15472580000641756
Dijkstra,Y,N,38,10,10,0.4,468,11,0.17795350000960752
Pruning,Y,N,36,10,10,0.4,8064,12,0.5428497999964748
A*,Y,N,38,10,10,0.4,429,11,0.3617657999857329
Pruning,Y,Y,38,10,10,0.4,2563,11,0.17085739999311045
A*,N,N,37,10,10,0.4,1561,11,1.093787899997551
Dijkstra,Y,N,36,10,10,0.4,1127,12,0.519867199996952
Dijkstra,Y,Y,38,10,10,0.4,375,11,0.12708969999221154
Pruning,Y,N,32,10,10,0.4,20748,13,1.4977903999970295
Pruning,Y,N,37,10,10,0.4,6155,11,0.4334722999774385
Pruning,Y,Y,30,10,10,0.4,17423,12,1.3861098999914248
A*,Y,Y,38,10,10,0.4,467,11,0.44136820000130683
Pruning,Y,N,35,10,10,0.4,25866,12,2.1316727999947034
Dijkstra,Y,N,37,10,10,0.4,1026,11,0.37054449997958727
Dijkstra,Y,N,35,10,10,0.4,1158,12,0.471309900021879
Dijkstra,Y,N,32,10,10,0.4,2731,13,1.0346904000034556
Pruning,N,N,39,10,10,0.4,2933,11,0.17402420000871643
Dijkstra,Y,Y,30,10,10,0.4,2176,12,0.9075529999972787
Dijkstra,N,N,39,10,10,0.4,389,11,0.16598260001046583
A*,Y,N,36,10,10,0.4,1616,12,1.427091699995799
A*,N,N,39,10,10,0.4,429,11,0.32705570000689477
A*,Y,N,37,10,10,0.4,1470,11,0.9810578000033274
Dijkstra,N,N,31,10,10,0.4,7125,15,3.0831598000077065
Pruning,Y,N,39,10,10,0.4,3099,11,0.26768109999829903
Pruning,Y,Y,36,10,10,0.4,7742,12,0.5593521000118926
A*,Y,N,35,10,10,0.4,1145,12,0.9979137999762315
Pruning,Y,Y,37,10,10,0.4,5567,11,0.3975321000034455
Dijkstra,Y,N,39,10,10,0.4,403,11,0.1627149999840185
Dijkstra,Y,Y,37,10,10,0.4,1021,11,0.34974040000815876
Dijkstra,Y,Y,36,10,10,0.4,1128,12,0.4947128999920096
A*,Y,N,39,10,10,0.4,427,11,0.40795470000011846
Pruning,Y,Y,39,10,10,0.4,3178,11,0.19486899999901652
Dijkstra,Y,Y,39,10,10,0.4,404,11,0.1367409999947995
Pruning,Y,Y,35,10,10,0.4,11579,12,0.8731756999914069
A*,Y,Y,30,10,10,0.4,1885,12,1.6151520000130404
A*,Y,N,32,10,10,0.4,2314,13,1.8434923000168055
A*,Y,Y,39,10,10,0.4,426,11,0.4308249000168871
A*,Y,Y,37,10,10,0.4,1531,11,0.9876821000070777
Dijkstra,Y,Y,35,10,10,0.4,1153,12,0.5190175999887288
Pruning,N,N,40,10,10,0.4,3184,13,0.20406379998894408
Dijkstra,N,N,40,10,10,0.4,421,13,0.20164179999846965
Pruning,N,N,42,10,10,0.4,1807,10,0.08504700000048615
Dijkstra,N,N,42,10,10,0.4,65,10,0.022131099976832047
A*,Y,N,3,10,10,0.4,8228,13,6.816884200001368
A*,Y,Y,36,10,10,0.4,1618,12,1.6001761999796145
A*,N,N,42,10,10,0.4,74,10,0.0749045999837108
Pruning,Y,N,42,10,10,0.4,1059,10,0.061552300001494586
Dijkstra,Y,N,42,10,10,0.4,62,10,0.0156591999984812
A*,Y,N,42,10,10,0.4,68,10,0.05633009999291971
Pruning,Y,Y,42,10,10,0.4,879,10,0.04172589999507181
Dijkstra,Y,Y,42,10,10,0.4,60,10,0.01609930000267923
A*,N,N,40,10,10,0.4,441,13,0.4582263000193052
A*,Y,Y,42,10,10,0.4,73,10,0.06143910001264885
A*,Y,Y,35,10,10,0.4,1146,12,1.0994842999789398
Pruning,Y,N,40,10,10,0.4,4270,13,0.3259136000124272
Pruning,N,N,41,10,10,0.4,11334,11,1.0054332000145223
Dijkstra,Y,N,40,10,10,0.4,447,13,0.1978157999983523
Dijkstra,N,N,41,10,10,0.4,712,11,0.34407259998261
Pruning,N,N,43,10,10,0.4,8664,14,0.6259890999936033
Pruning,N,N,44,10,10,0.4,5253,11,0.340361499984283
Pruning,Y,Y,32,10,10,0.4,27323,13,2.3342732999881264
A*,Y,N,40,10,10,0.4,443,13,0.4062442000140436
Pruning,N,N,45,10,10,0.4,3768,12,0.26504949998343363
Dijkstra,N,N,43,10,10,0.4,869,14,0.32042239999282174
Dijkstra,N,N,45,10,10,0.4,560,12,0.25047619998804294
Dijkstra,N,N,44,10,10,0.4,769,11,0.33061439997982234
Pruning,Y,Y,40,10,10,0.4,4817,13,0.3429621999966912
A*,N,N,41,10,10,0.4,603,11,0.5017823000089265
Dijkstra,Y,Y,40,10,10,0.4,426,13,0.1641109000192955
A*,N,N,45,10,10,0.4,586,12,0.494865699991351
Dijkstra,Y,Y,32,10,10,0.4,2424,13,0.8911266999784857
A*,Y,Y,40,10,10,0.4,442,13,0.37511629998334683
A*,N,N,44,10,10,0.4,758,11,0.616383999993559
Pruning,Y,N,41,10,10,0.4,7871,11,0.5761072000022978
Pruning,Y,N,45,10,10,0.4,3755,12,0.2721908999956213
A*,N,N,43,10,10,0.4,953,14,0.84287600000971
Dijkstra,Y,N,41,10,10,0.4,718,11,0.2924907999986317
Dijkstra,Y,N,45,10,10,0.4,540,12,0.20897269999841228
Pruning,Y,N,44,10,10,0.4,6861,11,0.48973959998693317
Pruning,Y,N,43,10,10,0.4,6460,14,0.37331699999049306
Pruning,N,N,46,10,10,0.4,4039,12,0.2941106000216678
Dijkstra,Y,N,44,10,10,0.4,762,11,0.3131007000047248
A*,Y,N,41,10,10,0.4,546,11,0.5436596000217833
A*,Y,N,45,10,10,0.4,583,12,0.5381753999972716
A*,N,N,31,10,10,0.4,7110,15,5.419752600020729
Dijkstra,N,N,46,10,10,0.4,473,12,0.20133189999614842
Dijkstra,Y,N,43,10,10,0.4,1200,14,0.4945181000221055
Pruning,Y,Y,45,10,10,0.4,5263,12,0.3540688999928534
A*,N,N,46,10,10,0.4,487,12,0.34955250000348315
Pruning,Y,Y,41,10,10,0.4,6975,11,0.5658300000068266
Dijkstra,Y,Y,45,10,10,0.4,554,12,0.22309580000001006
A*,Y,N,44,10,10,0.4,758,11,0.6989574000181165
Pruning,Y,N,46,10,10,0.4,3282,12,0.2024391999875661
Dijkstra,Y,Y,41,10,10,0.4,694,11,0.2831226999987848
Dijkstra,Y,N,46,10,10,0.4,473,12,0.16345900000305846
Pruning,Y,Y,3,10,10,0.4,46218,13,3.9683102999988478
Pruning,Y,Y,44,10,10,0.4,5232,11,0.37634370001615025
A*,Y,Y,32,10,10,0.4,2313,13,1.9620565999939572
A*,Y,N,43,10,10,0.4,1021,14,0.9705662000051234
A*,Y,Y,45,10,10,0.4,588,12,0.5926427999802399
A*,Y,N,46,10,10,0.4,482,12,0.4933972999860998
Dijkstra,Y,Y,44,10,10,0.4,758,11,0.36361490000854246
A*,Y,Y,41,10,10,0.4,609,11,0.692141100007575
Pruning,Y,Y,46,10,10,0.4,3843,12,0.2835057000047527
Pruning,N,N,47,10,10,0.4,2027,13,0.12075249999179505
Pruning,Y,Y,43,10,10,0.4,8315,14,0.6105037999805063
Dijkstra,N,N,47,10,10,0.4,181,13,0.0700838000047952
Dijkstra,Y,Y,46,10,10,0.4,481,12,0.19124200000078417
Pruning,Y,N,31,10,10,0.4,22622,15,1.9036061000078917
A*,N,N,47,10,10,0.4,282,13,0.264784500002861
Dijkstra,Y,Y,43,10,10,0.4,866,14,0.3343419000157155
Pruning,Y,N,47,10,10,0.4,1794,13,0.09629190000123344
A*,Y,Y,44,10,10,0.4,758,11,0.8283645000192337
Dijkstra,Y,N,47,10,10,0.4,187,13,0.0537659999972675
A*,Y,Y,46,10,10,0.4,480,12,0.45031260000541806
